"Yr","Player","PlayerID","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
2021,"Mikal Bridges","bridgmi01","SF",24,"PHO",72,2348,16.4,0.667,0.471,0.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,5.4,2.6,8,0.164,2.2,0.8,3,3
2021,"Miles Bridges","bridgmi02","PF",22,"CHO",66,1932,14.7,0.625,0.466,0.182,4.5,18,11.1,11.4,1.1,2.7,13.6,17.3,2.4,1.9,4.2,0.105,0.2,0,0.2,1
2021,"Amida Brimah","brimaam01","C",26,"IND",5,29,16.6,0.697,0,0.375,7.5,22.3,15,4.8,0,14,30,19.6,0,0.1,0,0.073,-5.5,1.5,-4,0
2021,"Oshae Brissett","brissos01","SF",22,"IND",21,519,17.2,0.638,0.517,0.43,6.1,17.9,12,4.6,1.7,3.1,5.3,15.6,1.2,0.6,1.8,0.165,0.9,-0.6,0.4,0.3
2021,"Malcolm Brogdon","brogdma01","PG",28,"IND",56,1930,17.9,0.561,0.382,0.181,3.3,13.2,8.3,25.7,1.2,0.6,9.8,25.9,2.9,1.3,4.2,0.105,2.9,-1.4,1.5,1.7
2021,"Armoni Brooks","brookar01","SG",22,"HOU",20,520,10.4,0.565,0.818,0.063,2,12.4,7,8.7,1.1,0.9,10,17.9,0.1,0.2,0.3,0.03,-1.3,-2,-3.3,-0.2
2021,"Dillon Brooks","brookdi01","SF",25,"MEM",67,1997,12.1,0.515,0.361,0.189,2.8,7.7,5.2,11.7,1.9,1.2,9.6,26.1,-0.5,1.8,1.4,0.033,-2.6,-1.3,-3.9,-1
2021,"Bruce Brown","brownbr01","PG",24,"BRK",65,1451,16.1,0.604,0.139,0.277,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,2.8,1.5,4.4,0.144,-0.4,0.1,-0.3,0.6
2021,"Charlie Brown","brownch02","SG",23,"OKC",9,152,4.1,0.422,0.488,0.233,2,9.7,5.8,8.2,1.3,1.2,11.2,14.9,-0.2,0.1,-0.1,-0.032,-7.8,-1.2,-8.9,-0.3
2021,"Jaylen Brown","brownja02","SG",24,"BOS",58,1999,19.9,0.586,0.37,0.225,3.9,15.5,9.7,16.5,1.8,1.5,11.5,29.7,2.8,2,4.8,0.115,3.5,-1,2.5,2.3
2021,"Moses Brown","brownmo01","C",21,"OKC",43,920,18.8,0.572,0,0.47,17.2,26.2,21.6,1.7,1.6,4.5,11.7,16.9,1.3,1.3,2.6,0.138,-1.2,-1.4,-2.6,-0.1
2021,"Sterling Brown","brownst02","SG",25,"HOU",51,1229,11.1,0.597,0.642,0.093,3.2,16.8,9.7,8.4,1.5,0.9,10.5,13.5,1,0.8,1.8,0.071,-1.7,0,-1.7,0.1
2021,"Troy Brown Jr.","browntr01","SF",21,"TOT",34,524,8.5,0.525,0.486,0.146,4.2,17.4,10.8,7.2,0.9,1,12.1,14,0,0.5,0.5,0.043,-3.3,-1,-4.3,-0.3
2021,"Jalen Brunson","brunsja01","PG",24,"DAL",68,1697,17.1,0.618,0.319,0.241,1.8,13.1,7.5,21.3,1,0.1,10.3,20.2,3.9,1.1,5.1,0.143,1.4,-0.9,0.5,1.1
2021,"Elijah Bryant","bryanel01","SG",25,"MIL",1,32,10.6,0.559,0.385,0.231,6.8,12.7,9.9,12.6,0,2.8,21.8,24,0,0,0,0.008,-4.1,-3.6,-7.7,0
2021,"Thomas Bryant","bryanth01","C",23,"WAS",10,271,18.7,0.704,0.231,0.264,7.1,16.8,11.9,8.2,0.7,2.5,9.8,17.2,0.7,0.2,1,0.171,2.1,-1.7,0.4,0.2
2021,"Reggie Bullock","bullore01","SF",29,"NYK",65,1949,11.1,0.606,0.709,0.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,2.3,2.3,4.6,0.114,-0.8,0.6,-0.1,0.9
2021,"Trey Burke","burketr01","PG",28,"DAL",62,911,12.6,0.544,0.465,0.161,1.2,5.3,3.3,12.9,1.9,0.7,8,20,0.7,0.7,1.4,0.071,-1.3,-0.7,-2,0
2021,"Alec Burks","burksal01","SG",29,"NYK",49,1255,14.8,0.564,0.492,0.236,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,1.5,1.8,3.3,0.126,0.6,0.3,0.9,0.9
